party,Should the US government fund needle exchange programs?,Should the US continue providing military aid to Israel?,Should the federal government pay reparations to the descendants of slaves?,Should the United States implement a universal basic income?,Should school dress codes be implemented and enforced?,Should the government provide free internet access to all citizens?,Should more gun control laws be enacted?,Should abortion be legal?,Should teachers get tenure?,Should the US military budget be reduced?,Should the drinking age be lowered from 21 to a younger age?,Should performance-enhancing drugs be accepted in sports?,Should the US implement a cap-and-trade system for carbon emissions?,Should cities defund the police to combat systemic discrimination?,Should the United States maintain its embargo against Cuba?,Should the United States ban the sale of sugary drinks in schools?,Should the government use controlled burns to control wildfires?,Should the government provide grants for minority-owned businesses?,"Should colleges use affirmative action policies, such as considering an applicant’s ethnicity, income level, etc.?",Should the US provide reparations for Native American tribes?
Democrat,Slightly No,Slightly No,Slightly No,Slightly Yes,Slightly No,Slightly Yes,Strongly Yes,Strongly Yes,Slightly Yes,Mostly Yes,,,,,,,,,,
Republican,Strongly No,Strongly Yes,Strongly No,Strongly No,Slightly Yes,Strongly No,Strongly No,Mostly No,Strongly No,Strongly No,,,,,,,,,,
Democrat,Slightly No,Mostly No,Mostly No,Slightly Yes,Slightly Yes,Mostly Yes,Neutral,Neutral,Slightly Yes,Neutral,,,,,,,,,,
Independent,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,
Democrat,Slightly No,Neutral,Strongly Yes,Mostly No,Neutral,Mostly Yes,Strongly Yes,Mostly Yes,Neutral,Neutral,,,,,,,,,,
Republican,Mostly Yes,Neutral,Strongly No,Slightly No,Slightly No,Slightly No,Mostly No,Slightly No,Slightly Yes,Slightly Yes,,,,,,,,,,
Democrat,Neutral,Mostly No,Neutral,Mostly Yes,Neutral,Slightly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Neutral,Strongly No,Strongly No,Neutral,Slightly No,Strongly No,Mostly No,Neutral,Mostly No,,,,,,,,,,
Democrat,Neutral,Mostly No,Mostly Yes,Strongly Yes,Slightly Yes,Mostly Yes,Mostly Yes,Strongly Yes,Strongly Yes,Slightly Yes,,,,,,,,,,
Republican,Strongly No,Strongly Yes,Strongly No,Neutral,Strongly No,Strongly Yes,Neutral,Neutral,Neutral,Mostly No,,,,,,,,,,
Democrat,Neutral,Slightly No,Slightly Yes,Mostly Yes,Slightly No,Strongly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Strongly Yes,Strongly No,Strongly No,Neutral,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,,,,,,,,,,
Democrat,Neutral,Mostly No,Mostly Yes,Slightly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Slightly Yes,,,,,,,,,,
Republican,Slightly No,Slightly Yes,Slightly No,Mostly No,Mostly No,Slightly Yes,Slightly No,Neutral,Mostly Yes,Slightly No,,,,,,,,,,
Democrat,Neutral,Strongly Yes,Strongly No,Neutral,Slightly No,Neutral,Mostly Yes,Strongly Yes,Neutral,Neutral,,,,,,,,,,
Republican,Neutral,Neutral,Strongly No,Mostly Yes,Neutral,Strongly Yes,Neutral,Mostly Yes,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Neutral,Slightly No,Slightly No,Mostly Yes,Slightly No,Slightly Yes,Mostly Yes,Strongly Yes,Slightly Yes,Neutral,,,,,,,,,,
Republican,Neutral,Strongly Yes,Slightly No,Mostly No,Strongly Yes,Slightly Yes,Strongly No,Strongly No,Slightly Yes,Strongly No,,,,,,,,,,
Democrat,Neutral,Slightly Yes,Slightly No,Slightly No,Neutral,Mostly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Slightly No,,,,,,,,,,
Republican,Mostly Yes,Slightly Yes,Slightly Yes,Mostly No,Strongly Yes,Strongly Yes,Mostly Yes,Strongly No,Slightly No,Mostly Yes,,,,,,,,,,
Democrat,Slightly Yes,Mostly Yes,Slightly No,Slightly No,Slightly Yes,Strongly Yes,Mostly Yes,Slightly Yes,Mostly Yes,Slightly No,,,,,,,,,,
Republican,Strongly No,Strongly Yes,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,Mostly No,Mostly No,Strongly No,,,,,,,,,,
Democrat,Slightly Yes,Neutral,Slightly Yes,Slightly Yes,Slightly No,Slightly Yes,Strongly Yes,Slightly Yes,Slightly Yes,Slightly Yes,,,,,,,,,,
Republican,Mostly No,Mostly No,Strongly No,Mostly No,Neutral,Neutral,Slightly No,Neutral,Neutral,Neutral,,,,,,,,,,
Democrat,Slightly Yes,Strongly Yes,Strongly No,Slightly No,Slightly Yes,Mostly Yes,Strongly Yes,Strongly Yes,Strongly No,Slightly No,,,,,,,,,,
Republican,Neutral,Neutral,Neutral,Slightly Yes,Slightly No,Strongly Yes,Mostly Yes,Mostly Yes,Slightly Yes,Mostly No,,,,,,,,,,
Democrat,Slightly Yes,Strongly No,Mostly No,Strongly No,Strongly No,Slightly No,Mostly Yes,Strongly Yes,Mostly Yes,Slightly Yes,,,,,,,,,,
Republican,Slightly Yes,Strongly No,Strongly No,Slightly Yes,Strongly Yes,Slightly No,Neutral,Slightly Yes,Slightly Yes,Slightly Yes,,,,,,,,,,
Democrat,Slightly Yes,Slightly Yes,Slightly Yes,Mostly Yes,Neutral,Neutral,Neutral,Neutral,Mostly Yes,Slightly Yes,,,,,,,,,,
Republican,Mostly Yes,Slightly Yes,Strongly No,Slightly Yes,Neutral,Slightly Yes,Neutral,Neutral,Slightly Yes,Mostly Yes,,,,,,,,,,
Democrat,Slightly Yes,Slightly No,Strongly Yes,Strongly Yes,Slightly No,Strongly Yes,Mostly No,Strongly Yes,Strongly Yes,Mostly Yes,,,,,,,,,,
Republican,Mostly Yes,Mostly Yes,Mostly No,Mostly Yes,Mostly Yes,Strongly Yes,Strongly Yes,Strongly No,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Slightly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly Yes,Strongly No,Strongly No,Neutral,Neutral,Strongly Yes,Neutral,Mostly No,Neutral,Mostly No,,,,,,,,,,
Democrat,Mostly Yes,Mostly Yes,Mostly No,Strongly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Mostly No,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly No,Neutral,Strongly No,Strongly No,Strongly No,Strongly No,Strongly Yes,,,,,,,,,,
Democrat,Mostly Yes,Strongly No,Strongly Yes,Neutral,Mostly No,Neutral,Strongly Yes,Strongly Yes,Neutral,Slightly Yes,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,Mostly No,Strongly No,Mostly No,,,,,,,,,,
Democrat,Mostly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly No,Strongly Yes,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly No,Strongly Yes,Mostly No,Strongly No,Strongly No,Strongly No,Strongly Yes,,,,,,,,,,
Democrat,Mostly Yes,Strongly No,Slightly Yes,Strongly Yes,Neutral,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Slightly No,,,,,,,,,,
Republican,Mostly No,Neutral,Slightly Yes,Neutral,Mostly No,Slightly Yes,Neutral,Slightly Yes,Mostly Yes,Neutral,,,,,,,,,,
Democrat,Mostly Yes,Slightly Yes,Strongly No,Strongly No,Slightly Yes,Neutral,Slightly Yes,Strongly Yes,Neutral,Neutral,,,,,,,,,,
Republican,Mostly No,Mostly No,Strongly No,Strongly No,Mostly Yes,Mostly Yes,Strongly No,Strongly No,Slightly Yes,Mostly No,,,,,,,,,,
Democrat,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Mostly No,Strongly Yes,Strongly Yes,Mostly Yes,Mostly Yes,Mostly Yes,,,,,,,,,,
Republican,Mostly No,Slightly No,Strongly No,Mostly No,Strongly Yes,Mostly No,Mostly No,Mostly No,Mostly Yes,Slightly Yes,,,,,,,,,,
Democrat,Mostly Yes,Slightly Yes,Slightly Yes,Strongly Yes,Neutral,Strongly Yes,Neutral,Neutral,Slightly Yes,Strongly No,,,,,,,,,,
Republican,Mostly No,Mostly Yes,Mostly Yes,Mostly No,Neutral,Mostly Yes,Slightly No,Mostly No,Neutral,Slightly No,,,,,,,,,,
Democrat,Mostly Yes,Slightly Yes,Slightly Yes,Mostly Yes,Strongly No,Strongly Yes,Mostly Yes,Strongly Yes,Mostly Yes,Mostly Yes,,,,,,,,,,
Republican,Slightly No,Mostly Yes,Strongly No,Slightly Yes,Slightly No,Slightly Yes,Strongly No,Mostly No,Slightly Yes,Mostly No,,,,,,,,,,
Democrat,Mostly Yes,Neutral,Neutral,Slightly Yes,Neutral,Slightly Yes,Neutral,Mostly No,Slightly Yes,Neutral,,,,,,,,,,
Republican,Neutral,Mostly Yes,Slightly Yes,Mostly Yes,Strongly No,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Mostly Yes,Neutral,Mostly No,Mostly Yes,Neutral,Slightly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Neutral,,,,,,,,,,
Republican,Mostly Yes,Mostly Yes,Mostly No,Strongly No,Mostly Yes,Strongly No,Strongly No,Strongly No,Mostly Yes,Neutral,,,,,,,,,,
Democrat,Mostly Yes,Slightly Yes,Neutral,Mostly Yes,Mostly No,Mostly Yes,Strongly Yes,Slightly No,Mostly No,Mostly No,,,,,,,,,,
Republican,Strongly Yes,Slightly No,Strongly No,Mostly No,Strongly Yes,Mostly Yes,Mostly Yes,Strongly Yes,Neutral,Mostly No,,,,,,,,,,
Democrat,Strongly Yes,Slightly No,Mostly Yes,Slightly Yes,Slightly Yes,Mostly Yes,Strongly Yes,Mostly Yes,Strongly Yes,Mostly No,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,Strongly No,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Strongly No,Strongly Yes,Mostly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Neutral,,,,,,,,,,
Republican,Strongly No,Strongly No,Neutral,Strongly No,Mostly No,Slightly No,Strongly No,Mostly No,Slightly Yes,Neutral,,,,,,,,,,
Democrat,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Slightly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Mostly No,Mostly No,Mostly No,Strongly No,Slightly Yes,Mostly Yes,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Mostly No,Strongly Yes,Strongly Yes,Mostly No,Mostly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Strongly No,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,Mostly Yes,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Neutral,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,Neutral,Neutral,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,Mostly No,Mostly Yes,Mostly Yes,Neutral,,,,,,,,,,
Democrat,Strongly Yes,Neutral,Neutral,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly Yes,,,,,,,,,,
Republican,Mostly No,Slightly Yes,Slightly No,Neutral,Strongly Yes,Strongly Yes,Mostly No,Strongly No,Slightly Yes,Mostly No,,,,,,,,,,
Democrat,Strongly Yes,Neutral,Strongly No,Mostly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Neutral,Slightly Yes,,,,,,,,,,
Republican,Mostly No,Mostly Yes,Strongly No,Strongly No,Mostly No,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Mostly Yes,Mostly Yes,Strongly Yes,Neutral,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Slightly No,,,,,,,,,,
Republican,Slightly No,Slightly Yes,Neutral,Slightly No,Slightly Yes,Mostly Yes,Strongly Yes,Slightly Yes,Slightly Yes,Slightly No,,,,,,,,,,
Democrat,Strongly Yes,Strongly No,Mostly Yes,Strongly Yes,Mostly No,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly Yes,,,,,,,,,,
Republican,Slightly No,Mostly No,Mostly No,Slightly Yes,Slightly Yes,Mostly Yes,Mostly No,Mostly Yes,Mostly Yes,Mostly Yes,,,,,,,,,,
Democrat,Strongly Yes,Slightly Yes,Strongly Yes,Mostly Yes,Mostly No,Strongly Yes,Strongly Yes,Strongly Yes,Slightly Yes,Mostly Yes,,,,,,,,,,
Republican,Neutral,Strongly No,Strongly No,Mostly Yes,Strongly No,Strongly Yes,Strongly No,Strongly No,Neutral,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Slightly No,Slightly Yes,Mostly Yes,Slightly No,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Mostly Yes,,,,,,,,,,
Republican,Slightly Yes,Slightly No,Strongly No,Strongly No,Neutral,Slightly Yes,Neutral,Slightly Yes,Slightly No,Mostly Yes,,,,,,,,,,
Democrat,Strongly Yes,Slightly No,Strongly Yes,Strongly Yes,Slightly No,Slightly Yes,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Slightly Yes,Slightly No,Slightly No,Strongly No,Slightly No,Mostly No,Slightly Yes,Mostly No,Mostly No,Mostly No,,,,,,,,,,
Democrat,Strongly Yes,Strongly Yes,Mostly Yes,Mostly Yes,Neutral,Strongly Yes,Strongly Yes,Strongly Yes,Mostly No,Strongly No,,,,,,,,,,
Republican,Mostly Yes,Slightly Yes,Strongly No,Slightly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Mostly Yes,Neutral,Neutral,,,,,,,,,,
Democrat,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly Yes,Mostly No,Strongly No,Neutral,Slightly Yes,Mostly Yes,Mostly No,Strongly Yes,Slightly Yes,Mostly No,,,,,,,,,,
Democrat,Strongly Yes,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Neutral,Strongly Yes,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Slightly Yes,Strongly No,Slightly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Mostly No,Strongly Yes,,,,,,,,,,
Democrat,Slightly Yes,Strongly No,Mostly Yes,Mostly Yes,Neutral,Strongly Yes,Strongly Yes,Strongly Yes,Neutral,Strongly Yes,,,,,,,,,,
Republican,Neutral,Mostly No,Slightly Yes,Slightly Yes,Mostly No,Slightly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Strongly No,Slightly No,Strongly Yes,Mostly No,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Mostly Yes,,,,,,,,,,
Republican,Mostly Yes,Neutral,Strongly No,Mostly No,Neutral,Slightly No,Slightly No,Slightly No,Slightly Yes,Mostly Yes,,,,,,,,,,
Democrat,Slightly No,Strongly No,Strongly Yes,Mostly Yes,Strongly No,Mostly No,Strongly No,Strongly Yes,Neutral,Strongly Yes,,,,,,,,,,
Republican,Neutral,Slightly Yes,Mostly No,Mostly No,Slightly Yes,Mostly No,Slightly Yes,Mostly No,Mostly Yes,Mostly No,,,,,,,,,,
Democrat,Slightly Yes,Strongly No,Mostly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly Yes,Neutral,Mostly Yes,Slightly Yes,,,,,,,,,,
Republican,Slightly Yes,Mostly Yes,Strongly Yes,Slightly Yes,Slightly No,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Neutral,,,,,,,,,,
Democrat,Strongly Yes,Strongly No,Slightly Yes,Mostly Yes,Neutral,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Mostly Yes,Strongly Yes,Strongly No,Mostly No,Mostly No,Strongly No,Mostly Yes,Mostly No,Strongly No,,,,,,,,,,
Democrat,Slightly Yes,Strongly No,Mostly Yes,Mostly Yes,Mostly No,Mostly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly Yes,,,,,,,,,,
Republican,Mostly Yes,Strongly Yes,Strongly No,Strongly No,Mostly Yes,Neutral,Strongly No,Strongly No,Strongly No,Strongly No,,,,,,,,,,
Democrat,Slightly No,Strongly No,Slightly No,Mostly No,Slightly No,Strongly Yes,Strongly Yes,Mostly Yes,Slightly Yes,Slightly Yes,,,,,,,,,,
Republican,Neutral,Strongly Yes,Strongly No,Neutral,Mostly Yes,Mostly Yes,Slightly No,Mostly No,Slightly Yes,Mostly No,,,,,,,,,,
Democrat,Neutral,Strongly No,Neutral,Slightly Yes,Mostly No,Mostly Yes,Strongly Yes,Mostly Yes,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,Strongly Yes,Strongly No,Strongly No,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Mostly Yes,Strongly No,Mostly Yes,Mostly Yes,Neutral,Mostly Yes,Mostly Yes,Strongly Yes,Mostly Yes,Mostly Yes,,,,,,,,,,
Republican,Mostly Yes,Strongly Yes,Slightly No,Slightly Yes,Mostly No,Mostly No,Mostly No,Slightly Yes,Mostly No,Strongly No,,,,,,,,,,
Democrat,Slightly No,Mostly No,Slightly Yes,Mostly Yes,Mostly No,Slightly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,Strongly No,Neutral,Strongly Yes,,,,,,,,,,
Democrat,Mostly Yes,Mostly No,Mostly Yes,Mostly Yes,Mostly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Slightly No,Mostly No,Mostly No,Neutral,Slightly No,Neutral,Strongly Yes,Mostly Yes,Slightly No,,,,,,,,,,
Democrat,Mostly Yes,Mostly No,Strongly Yes,Slightly Yes,Slightly No,Mostly Yes,Strongly Yes,Mostly Yes,Slightly Yes,Slightly Yes,,,,,,,,,,
Republican,Mostly No,Neutral,Strongly No,Strongly No,Slightly Yes,Mostly No,Slightly Yes,Mostly Yes,Strongly No,Strongly No,,,,,,,,,,
Democrat,Slightly Yes,Mostly No,Mostly No,Mostly No,Mostly Yes,Slightly No,Mostly Yes,Mostly Yes,Mostly No,Slightly Yes,,,,,,,,,,
Republican,Strongly No,Slightly Yes,Strongly No,Strongly No,Strongly Yes,Strongly No,Strongly No,Neutral,Neutral,Strongly Yes,,,,,,,,,,
Democrat,Slightly Yes,Mostly No,Strongly Yes,Strongly Yes,Mostly No,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly No,,,,,,,,,,
Republican,Strongly No,Mostly Yes,Strongly No,Slightly Yes,Neutral,Slightly No,Strongly No,Mostly No,Slightly No,Slightly Yes,,,,,,,,,,
Democrat,Mostly Yes,Mostly No,Strongly Yes,Strongly Yes,Neutral,Strongly Yes,Mostly Yes,Strongly Yes,Mostly Yes,Slightly Yes,,,,,,,,,,
Republican,Neutral,Strongly Yes,Strongly No,Slightly Yes,Mostly Yes,Neutral,Strongly No,Strongly No,Mostly No,Strongly No,,,,,,,,,,
Democrat,Neutral,Mostly No,Strongly Yes,Slightly No,Mostly No,Slightly Yes,Strongly Yes,Strongly Yes,Neutral,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Strongly Yes,Strongly No,Strongly No,Mostly Yes,Mostly No,Strongly No,Strongly No,Strongly No,Mostly No,,,,,,,,,,
Democrat,Mostly Yes,Slightly No,Mostly No,Mostly No,Neutral,Mostly Yes,Neutral,Strongly Yes,Neutral,Mostly Yes,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly No,Slightly Yes,Strongly Yes,Slightly Yes,Mostly No,Slightly Yes,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Slightly No,Mostly Yes,Strongly Yes,Slightly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly Yes,,,,,,,,,,
Republican,Mostly No,Slightly No,Strongly No,Slightly Yes,Mostly No,Slightly Yes,Mostly Yes,Neutral,Mostly Yes,Slightly No,,,,,,,,,,
Democrat,Neutral,Slightly No,Strongly Yes,Strongly Yes,Slightly Yes,Neutral,Strongly Yes,Mostly No,Strongly Yes,Strongly No,,,,,,,,,,
Republican,Strongly No,Slightly Yes,Strongly No,Strongly No,Mostly Yes,Slightly Yes,Strongly No,Strongly No,Mostly No,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Slightly No,Mostly No,Neutral,Mostly No,Slightly Yes,Strongly Yes,Strongly Yes,Strongly No,Strongly No,,,,,,,,,,
Republican,Mostly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Mostly Yes,Strongly Yes,,,,,,,,,,
Democrat,Neutral,Slightly No,Slightly No,Slightly Yes,Slightly Yes,Slightly Yes,Slightly Yes,Slightly Yes,Slightly Yes,Slightly Yes,,,,,,,,,,
Republican,Strongly No,Strongly Yes,Strongly No,Neutral,Neutral,Neutral,Strongly No,Strongly Yes,Neutral,Strongly No,,,,,,,,,,
Democrat,Strongly Yes,Slightly No,Slightly Yes,Strongly Yes,Mostly No,Mostly Yes,Strongly Yes,Strongly Yes,Neutral,Slightly Yes,,,,,,,,,,
Republican,Strongly No,Strongly Yes,Strongly No,Strongly No,Mostly Yes,Strongly No,Strongly No,Mostly No,Mostly No,Neutral,,,,,,,,,,
Democrat,Neutral,Neutral,Strongly Yes,Neutral,Slightly No,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,,,,,,,,,,
Republican,Strongly Yes,Strongly No,Strongly No,Strongly Yes,Strongly Yes,Strongly Yes,Neutral,Neutral,Strongly Yes,Strongly Yes,,,,,,,,,,
Democrat,Mostly Yes,Neutral,Mostly No,Slightly Yes,Slightly No,Strongly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Slightly No,,,,,,,,,,
Republican,Strongly No,Strongly No,Slightly No,Strongly No,Strongly Yes,Mostly Yes,Strongly No,Mostly No,Strongly Yes,Mostly No,,,,,,,,,,
Democrat,Neutral,Neutral,Slightly Yes,Mostly Yes,Slightly No,Mostly Yes,Neutral,Mostly Yes,Mostly Yes,Neutral,,,,,,,,,,
Republican,Strongly No,Strongly No,Mostly No,Neutral,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Slightly No,Mostly No,,,,,,,,,,
Democrat,Neutral,Neutral,Slightly Yes,Mostly Yes,Slightly No,Neutral,Mostly Yes,Neutral,Mostly No,Strongly No,,,,,,,,,,
Republican,Slightly Yes,Mostly No,Mostly No,Slightly Yes,Slightly Yes,Mostly Yes,Slightly Yes,Neutral,Mostly Yes,Strongly Yes,,,,,,,,,,
Democrat,Strongly Yes,Neutral,Strongly Yes,Strongly Yes,Slightly No,Strongly Yes,Strongly Yes,Strongly Yes,Slightly No,Strongly Yes,,,,,,,,,,
Republican,Neutral,Mostly No,Strongly No,Strongly No,Neutral,Neutral,Neutral,Mostly No,Strongly No,Strongly No,,,,,,,,,,
Democrat,Mostly Yes,Neutral,Slightly No,Slightly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Mostly No,,,,,,,,,,
Republican,Slightly Yes,Slightly No,Strongly No,Slightly No,Strongly No,Slightly Yes,Mostly No,Neutral,Mostly Yes,Mostly No,,,,,,,,,,
Democrat,Neutral,Neutral,Slightly Yes,Mostly Yes,Neutral,Strongly Yes,Strongly Yes,Slightly Yes,Slightly Yes,Mostly No,,,,,,,,,,
Republican,Mostly Yes,Neutral,Strongly No,Neutral,Mostly Yes,Strongly Yes,Mostly No,Mostly No,Slightly Yes,Neutral,,,,,,,,,,
Democrat,Neutral,Neutral,Neutral,Mostly Yes,Mostly Yes,Neutral,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,,,,,,,,,,
Republican,Strongly No,Slightly Yes,Strongly No,Mostly No,Strongly No,Slightly No,Strongly No,Slightly No,Slightly Yes,Slightly No,,,,,,,,,,
Democrat,Slightly Yes,Neutral,Neutral,Slightly Yes,Strongly No,Slightly Yes,Strongly Yes,Strongly Yes,Strongly No,Neutral,,,,,,,,,,
Republican,Mostly No,Mostly Yes,Strongly No,Mostly Yes,Mostly Yes,Slightly No,Slightly No,Slightly No,Slightly No,Neutral,,,,,,,,,,
